date,total_value
2023-11-30,10745.01522390431
2023-12-01,10801.059944221959
2023-12-02,10801.059944221959
2023-12-03,10801.059944221959
2023-12-04,10788.82950394032
2023-12-05,10756.16833475042
2023-12-06,10684.87143247612
2023-12-07,10704.705041932339
2023-12-08,10775.903417165773
2023-12-09,10775.903417165773
2023-12-10,10775.903417165773
2023-12-11,10835.84671193447
2023-12-12,10835.526883139079
2023-12-13,11028.720249389848
2023-12-14,11099.013997422586
2023-12-15,11049.351144042912
2023-12-16,11049.351144042912
2023-12-17,11049.351144042912
2023-12-18,11091.308843999032
2023-12-19,11165.043322472084
2023-12-20,10992.825528260975
2023-12-21,11082.647793558412
2023-12-22,11131.271575647017
2023-12-23,11131.271575647017
2023-12-24,11131.271575647017
2023-12-25,11131.271575647017
2023-12-26,11181.255355280515
2023-12-27,11199.191936823103
2023-12-28,11181.840375462385
2023-12-29,11173.643237806604
2023-12-30,11173.643237806604
2023-12-31,11173.643237806604
2024-01-01,11226.391767051115
2024-01-02,11351.75450406409
2024-01-03,11402.214429864473
2024-01-04,11381.630250360638
2024-01-05,11435.480745213785
2024-01-06,11435.480745213785
2024-01-07,11435.480745213785
2024-01-08,11490.066730997683
2024-01-09,11427.403545452175
2024-01-10,11427.777102626453
2024-01-11,11434.405818395653
2024-01-12,11475.672121505153
2024-01-13,11475.672121505153
2024-01-14,11475.672121505153
2024-01-15,11475.672121505153
2024-01-16,11382.371307329267
2024-01-17,11324.608001112068
2024-01-18,11342.701596188412
2024-01-19,11458.118596227208
2024-01-20,11458.118596227208
2024-01-21,11458.118596227208
2024-01-22,11473.293640600541
2024-01-23,11494.508118628451
2024-01-24,11519.084146782703
2024-01-25,11632.513297089827
2024-01-26,11691.542886603704
2024-01-27,11691.542886603704
2024-01-28,11691.542886603704
2024-01-29,11731.702558018122
2024-01-30,11840.325860559644
2024-01-31,11705.186546268393
2024-02-01,11810.824781710042
2024-02-02,11873.333474545183
2024-02-03,11873.333474545183
2024-02-04,11873.333474545183
2024-02-05,11920.346674147282
2024-02-06,11930.39010301161
2024-02-07,12009.149299519731
2024-02-08,12049.48834462508
2024-02-09,12052.602649989827
2024-02-10,12052.602649989827
2024-02-11,12052.602649989827
2024-02-12,12100.284639415282
2024-02-13,12008.321934188534
2024-02-14,12090.248449167762
2024-02-15,12243.375115092571
2024-02-16,12273.041310630044
2024-02-17,12273.041310630044
2024-02-18,12273.041310630044
2024-02-19,12273.041310630044
2024-02-20,12166.633117493608
2024-02-21,12146.025984676475
2024-02-22,12335.41608877898
2024-02-23,12374.341022360202
2024-02-24,12374.341022360202
2024-02-25,12374.341022360202
2024-02-26,12382.946925322323
2024-02-27,12402.524639944804
2024-02-28,12388.69118175743
2024-02-29,12396.205643608737
2024-03-01,12579.95797349937
2024-03-02,12579.95797349937
2024-03-03,12579.95797349937
2024-03-04,12594.364479581678
2024-03-05,12591.330708112595
2024-03-06,12685.596345547798
2024-03-07,12754.98563304108
2024-03-08,12679.506921092194
2024-03-09,12679.506921092194
2024-03-10,12679.506921092194
2024-03-11,12646.5799455106
2024-03-12,12754.691821800967
2024-03-13,12796.57318776985
2024-03-14,12760.064834639186
2024-03-15,12729.15978075399
2024-03-16,12729.15978075399
2024-03-17,12729.15978075399
2024-03-18,12810.676443352648
2024-03-19,12894.877038568484
2024-03-20,12971.984269537967
2024-03-21,13043.685601794085
2024-03-22,13023.68520166036
2024-03-23,13023.68520166036
2024-03-24,13023.68520166036
2024-03-25,13080.769049537654
2024-03-26,13049.846975572642
2024-03-27,13179.144752868968
2024-03-28,13240.090794664597
2024-03-29,13240.090794664597
2024-03-30,13240.090794664597
2024-03-31,13240.090794664597
2024-04-01,13205.13876929539
2024-04-02,13184.877745151654
2024-04-03,13233.289983609917
